ID,temp ,humidity,windspeed,workingday,count
68,0.14,0.69,0.1343,1,20
69,0.18,0.55,0.1045,1,12
70,0.16,0.55,0.1045,1,5
71,0.16,0.59,0.1045,1,2
72,0.14,0.63,0.1343,1,1
73,0.14,0.63,0.0896,1,2
74,0.12,0.68,0.1045,1,4
75,0.12,0.74,0.1045,1,36
76,0.12,0.74,0.1343,1,94
77,0.14,0.69,0.1642,1,179
78,0.16,0.64,0.2239,1,100
79,0.16,0.69,0.3284,1,42
80,0.22,0.51,0.2985,1,57
81,0.22,0.51,0.1642,1,78
82,0.24,0.56,0.194,1,97
83,0.26,0.52,0.2239,1,63
84,0.28,0.52,0.2537,1,65
85,0.3,0.49,0.2537,1,83
86,0.28,0.48,0.2239,1,212
87,0.26,0.48,0.194,1,182
88,0.24,0.48,0.1045,1,112
89,0.24,0.48,0.1045,1,54
90,0.22,0.64,0,1,48
91,0.22,0.64,0.0896,1,35
92,0.2,0.69,0.0896,1,11
93,0.2,0.64,0,1,6
94,0.16,0.74,0.0896,1,6
95,0.16,0.74,0.0896,1,2
96,0.24,0.48,0.2239,1,2
97,0.22,0.47,0.1642,1,3
98,0.2,0.47,0.2239,1,33
99,0.18,0.43,0.194,1,88
100,0.2,0.4,0.2985,1,195
101,0.22,0.37,0.3284,1,115
102,0.22,0.37,0.3284,1,57
103,0.26,0.33,0.3284,1,46
104,0.26,0.33,0.3284,1,79
105,0.28,0.3,0.2985,1,71
106,0.3,0.28,0.194,1,62
107,0.3,0.28,0.194,1,62
108,0.3,0.28,0.0896,1,89
109,0.24,0.38,0.194,1,190
110,0.24,0.38,0.1343,1,169
111,0.24,0.38,0.1045,1,132
112,0.22,0.47,0.1642,1,89
113,0.2,0.51,0.194,1,43
114,0.18,0.55,0.1343,1,42
115,0.2,0.47,0,1,19
116,0.18,0.55,0,1,11
117,0.16,0.64,0,1,4
118,0.16,0.64,0,1,2
119,0.16,0.64,0.0896,1,1
120,0.14,0.69,0.0896,1,4
121,0.14,0.63,0.1045,1,36
122,0.16,0.59,0,1,95
123,0.16,0.59,0,1,219
124,0.18,0.51,0,1,122
125,0.2,0.47,0,1,45
126,0.22,0.44,0.0896,1,59
127,0.26,0.35,0,1,84
128,0.26,0.35,0.1045,1,67
129,0.28,0.36,0.1642,1,70
130,0.28,0.36,0,1,62
131,0.26,0.38,0.1642,1,86
132,0.22,0.51,0.1642,1,172
133,0.22,0.51,0.1343,1,163
134,0.22,0.55,0.0896,1,112
135,0.2,0.51,0.1642,1,69
136,0.22,0.55,0.2239,1,48
137,0.22,0.51,0.2836,1,52
138,0.2,0.59,0.194,1,23
139,0.2,0.64,0.194,1,17
140,0.2,0.69,0.2239,1,7
141,0.2,0.69,0.2239,1,1
142,0.2,0.69,0.1343,1,1
143,0.22,0.55,0,1,5
144,0.2,0.69,0,1,34
145,0.2,0.69,0.1343,1,84
146,0.2,0.51,0.2537,1,210
147,0.2,0.47,0.2985,1,134
148,0.22,0.37,0.3284,1,63
149,0.2,0.4,0.2239,1,67
150,0.2,0.37,0.2537,1,59
151,0.2,0.37,0.2836,1,73
152,0.2,0.4,0.2537,1,50
153,0.2,0.37,0.1642,1,72
154,0.2,0.37,0.1642,1,87
155,0.2,0.37,0,1,187
156,0.2,0.4,0.0896,1,123
157,0.16,0.55,0.0896,1,95
158,0.18,0.47,0.1045,1,51
159,0.18,0.47,0.1343,1,39
160,0.18,0.43,0.1642,1,36
161,0.18,0.51,0.1642,1,15
162,0.18,0.51,0.1642,0,25
163,0.18,0.55,0.0896,0,16
164,0.18,0.55,0,0,16
165,0.18,0.55,0.1642,0,7
166,0.18,0.55,0.1642,0,1
167,0.16,0.74,0.1642,0,5
168,0.16,0.74,0.1642,0,2
169,0.16,0.74,0.1045,0,9
170,0.16,0.93,0.1045,0,15
171,0.16,0.93,0.1045,0,20
172,0.18,0.8,0.1642,0,61
173,0.2,0.69,0.3881,0,62
174,0.2,0.59,0.3582,0,98
175,0.2,0.44,0.3284,0,102
176,0.2,0.32,0.4925,0,95
177,0.2,0.32,0.4478,0,74
178,0.18,0.29,0.4478,0,76
179,0.16,0.37,0.5522,0,69
180,0.14,0.39,0.2985,0,55
181,0.14,0.36,0.2537,0,30
182,0.12,0.36,0.2537,0,28
183,0.12,0.39,0.3582,0,37
184,0.12,0.36,0.3881,0,34
185,0.1,0.39,0.4478,0,22
186,0.1,0.42,0.3881,0,25
187,0.1,0.42,0.4627,0,12
188,0.1,0.46,0.4627,0,11
189,0.1,0.46,0.4179,0,4
190,0.08,0.53,0.194,0,1
191,0.08,0.53,0.194,0,1
192,0.1,0.49,0.2836,0,1
193,0.08,0.53,0.194,0,6
194,0.1,0.49,0.2836,0,10
195,0.12,0.46,0.5224,0,19
196,0.14,0.43,0.3881,0,49
197,0.16,0.4,0.5224,0,49
198,0.18,0.37,0.4478,0,83
199,0.2,0.34,0.4478,0,75
200,0.22,0.32,0.4627,0,72
201,0.22,0.35,0.3582,0,82
202,0.2,0.34,0.4478,0,92
203,0.18,0.37,0.3881,0,62
204,0.16,0.4,0.3284,0,48
205,0.16,0.43,0.3284,0,41
206,0.14,0.46,0.2537,0,38
207,0.14,0.46,0.4179,0,20
208,0.14,0.46,0.2985,0,15
209,0.12,0.5,0.194,0,6
210,0.12,0.5,0.2836,1,5
211,0.12,0.5,0.2836,1,1
212,0.12,0.5,0.2239,1,3
213,0.12,0.5,0.2239,1,1
214,0.1,0.54,0.1343,1,3
215,0.1,0.54,0.2537,1,3
216,0.12,0.5,0.2836,1,31
217,0.12,0.5,0.2239,1,77
218,0.12,0.5,0.2836,1,188
219,0.14,0.5,0.2537,1,94
220,0.14,0.5,0.2985,1,31
221,0.16,0.47,0.2836,1,30
222,0.2,0.4,0.2836,1,52
223,0.2,0.4,0.2836,1,54
224,0.2,0.4,0.2239,1,47
225,0.2,0.4,0.2239,1,45
226,0.2,0.4,0.1343,1,74
227,0.2,0.4,0.1045,1,178
228,0.2,0.4,0.2239,1,155
229,0.16,0.47,0.1642,1,95
230,0.16,0.5,0.1642,1,74
231,0.14,0.59,0.194,1,38
232,0.14,0.59,0.1642,1,24
233,0.14,0.59,0.1642,1,18
234,0.14,0.59,0.1045,1,12
235,0.14,0.59,0.1642,1,3
236,0.16,0.55,0.194,1,3
237,0.16,0.55,0.1343,1,6
238,0.16,0.55,0.1343,1,27
239,0.16,0.55,0,1,99
240,0.18,0.51,0.0896,1,217
241,0.18,0.51,0.1642,1,130
242,0.2,0.51,0.1642,1,54
243,0.2,0.47,0.1343,1,35
244,0.2,0.51,0.1045,1,57
245,0.2,0.59,0.0896,1,52
246,0.2,0.59,0.0896,1,63
247,0.16,0.8,0.0896,1,47
248,0.16,0.86,0.2239,1,76
249,0.16,0.86,0.2239,1,136
250,0.16,0.93,0.1045,1,95
251,0.16,0.93,0,1,51
252,0.16,0.93,0.194,1,32
253,0.16,0.86,0.0896,1,20
254,0.16,0.93,0.1045,1,29
255,0.16,0.93,0.0896,1,19
256,0.16,0.86,0.0896,1,7
257,0.16,0.86,0.1045,1,6
258,0.14,0.86,0.1343,1,1
259,0.14,0.86,0.1642,1,5
260,0.12,0.93,0.1343,1,16
261,0.14,0.69,0.1343,1,54
262,0.16,0.59,0.1642,1,128
263,0.16,0.59,0.3284,1,81
264,0.18,0.55,0.2239,1,39
265,0.2,0.51,0.3881,1,35
266,0.2,0.47,0.5821,1,55
267,0.22,0.44,0.3582,1,49
268,0.2,0.47,0.3284,1,44
269,0.2,0.47,0.4179,1,49
270,0.22,0.44,0.3284,1,68
271,0.2,0.47,0.3582,1,139
272,0.2,0.47,0.5224,1,137
273,0.18,0.47,0.4179,1,83
274,0.16,0.5,0.3284,1,56
275,0.16,0.55,0.3284,1,57
276,0.16,0.55,0.4478,1,33
277,0.14,0.59,0.4179,1,20
278,0.14,0.59,0.2836,1,7
279,0.14,0.5,0.2836,1,2
280,0.14,0.5,0.3582,1,2
281,0.14,0.5,0.3284,1,3
282,0.14,0.5,0.2537,1,4
283,0.14,0.5,0.2985,1,3
284,0.12,0.54,0.1343,1,28
285,0.12,0.54,0.1343,1,72
286,0.14,0.5,0.194,1,202
287,0.14,0.5,0.3284,1,139
288,0.16,0.5,0.3582,1,38
289,0.2,0.44,0.4478,1,37
290,0.2,0.44,0.4179,1,52
291,0.22,0.41,0.4478,1,83
292,0.22,0.41,0.3881,1,42
293,0.24,0.38,0.2985,1,60
294,0.24,0.38,0.3582,1,78
295,0.2,0.4,0.2836,1,162
296,0.2,0.4,0.3284,1,144
297,0.16,0.47,0.2537,1,99
298,0.16,0.47,0.2239,1,64
299,0.14,0.46,0.2985,1,40
300,0.14,0.46,0.3284,1,30
301,0.12,0.5,0.194,1,15
302,0.12,0.5,0.194,1,14
303,0.1,0.54,0.1642,1,5
304,0.1,0.54,0.1343,1,1
305,0.1,0.54,0.1045,1,1
306,0.1,0.54,0.0896,1,8
307,0.1,0.54,0,1,17
308,0.1,0.74,0.1642,1,70
309,0.12,0.68,0,1,158
310,0.14,0.69,0.1343,1,117
311,0.18,0.55,0.194,1,44
312,0.18,0.51,0.2836,1,53
313,0.2,0.44,0.2537,1,61
314,0.22,0.37,0.3881,1,77
315,0.22,0.41,0.2836,1,64
316,0.24,0.38,0.1642,1,68
317,0.22,0.41,0.1045,1,90
318,0.22,0.41,0.1642,1,159
319,0.2,0.47,0,1,139
320,0.16,0.59,0.0896,1,92
321,0.18,0.59,0,1,68
322,0.16,0.69,0,1,52
323,0.16,0.69,0,1,36
324,0.18,0.55,0,1,27
325,0.18,0.55,0,0,28
326,0.16,0.59,0.0896,0,20
327,0.16,0.59,0.0896,0,12
328,0.16,0.59,0,0,8
329,0.16,0.59,0,0,5
330,0.16,0.59,0,0,1
331,0.14,0.63,0.1045,0,3
332,0.14,0.63,0,0,10
333,0.14,0.63,0.1343,0,23
334,0.16,0.64,0.1343,0,33
335,0.18,0.59,0.1642,0,59
336,0.2,0.55,0.2239,0,72
337,0.24,0.48,0.2239,0,89
338,0.28,0.38,0.2985,0,101
339,0.3,0.39,0.2836,0,118
340,0.32,0.36,0.194,0,129
341,0.34,0.34,0.194,0,128
342,0.32,0.36,0.2836,0,83
343,0.3,0.45,0.2537,0,84
344,0.32,0.39,0.2537,0,74
345,0.32,0.39,0.2537,0,41
346,0.32,0.39,0.2239,0,57
347,0.3,0.42,0.1045,0,26
348,0.3,0.45,0.2836,0,44
349,0.26,0.56,0,0,39
350,0.26,0.56,0.1343,0,23
351,0.26,0.56,0.0896,0,16
352,0.22,0.69,0,0,15
353,0.26,0.56,0.1642,0,1
354,0.26,0.56,0.1642,0,2
355,0.26,0.56,0.1642,0,1
356,0.24,0.56,0.2985,0,3
357,0.22,0.55,0.2836,0,18
358,0.22,0.51,0.2537,0,32
359,0.22,0.51,0.2836,0,79
360,0.24,0.44,0.2537,0,93
361,0.24,0.41,0.2836,0,104
362,0.26,0.35,0.2985,0,118
363,0.28,0.36,0.2537,0,91
364,0.26,0.38,0.2537,0,113
365,0.24,0.38,0.2239,0,99
366,0.22,0.37,0.2537,0,105
367,0.2,0.4,0.1642,0,67
368,0.18,0.47,0.1343,0,61
369,0.18,0.47,0.1642,0,57
370,0.18,0.51,0.1642,0,28
371,0.2,0.49,0.1343,0,21
372,0.2,0.4,0.1045,0,18
373,0.2,0.47,0.2239,0,17
374,0.2,0.44,0.194,0,16
375,0.18,0.43,0.2537,0,8
376,0.18,0.43,0.194,0,2
377,0.18,0.43,0.1343,0,3
378,0.18,0.43,0.1642,0,1
379,0.18,0.43,0.194,0,5
380,0.16,0.5,0.1343,0,13
381,0.16,0.47,0.2239,0,33
382,0.16,0.47,0.2239,0,47
383,0.16,0.5,0.2537,0,57
384,0.16,0.55,0.194,0,64
385,0.18,0.47,0.1343,0,80
386,0.18,0.47,0.1343,0,93
387,0.18,0.43,0.1045,0,86
388,0.2,0.47,0.1642,0,93
389,0.2,0.47,0.1642,0,82
390,0.2,0.51,0.194,0,71
391,0.18,0.55,0.2537,0,92
392,0.18,0.59,0.194,0,60
393,0.16,0.8,0.194,0,33
394,0.16,0.8,0.194,0,27
395,0.14,0.93,0.2537,0,13
396,0.16,0.86,0.2836,0,4
397,0.2,0.86,0.3284,1,3
398,0.2,0.86,0.2239,1,22
399,0.22,0.8,0.1642,1,28
400,0.22,0.87,0.1642,1,35
401,0.22,0.87,0.194,1,61
402,0.22,0.82,0.194,1,125
403,0.22,0.8,0.1642,1,133
404,0.22,0.8,0.1343,1,99
405,0.22,0.87,0,1,83
406,0.22,0.93,0.1045,1,41
407,0.22,0.93,0.0896,1,33
408,0.22,0.93,0,1,20
409,0.22,0.93,0,1,3
410,0.22,0.93,0.1343,1,7
411,0.22,0.93,0.1343,1,3
412,0.22,0.93,0.1343,1,2
413,0.22,0.93,0.0896,1,7
414,0.22,0.93,0.0896,1,32
415,0.24,0.92,0.1045,1,90
416,0.24,0.93,0.1045,1,197
417,0.24,0.93,0.1045,1,109
418,0.26,0.93,0.1343,1,47
419,0.28,0.87,0.0896,1,52
420,0.3,0.81,0.0896,1,70
421,0.4,0.62,0.2836,1,78
422,0.4,0.58,0.2537,1,75
423,0.4,0.54,0.2836,1,82
424,0.38,0.58,0.3881,1,104
425,0.36,0.57,0.3284,1,197
426,0.34,0.61,0.2836,1,161
427,0.32,0.57,0.4179,1,112
428,0.32,0.49,0.2985,1,76
429,0.32,0.49,0.4179,1,59
430,0.3,0.52,0.1642,1,59
431,0.3,0.52,0.4627,1,28
432,0.26,0.56,0.3881,1,13
433,0.26,0.56,0,1,5
434,0.26,0.56,0,1,2
435,0.26,0.56,0.1642,1,1
436,0.26,0.56,0.1642,1,1
437,0.24,0.6,0.2239,1,6
438,0.22,0.6,0.2239,1,35
439,0.22,0.55,0.2239,1,101
440,0.22,0.55,0.2836,1,249
441,0.24,0.52,0.2239,1,143
442,0.26,0.48,0.2985,1,57
443,0.28,0.45,0.1642,1,68
444,0.3,0.42,0,1,84
445,0.28,0.45,0.1045,1,98
446,0.3,0.45,0.1343,1,81
447,0.32,0.45,0.194,1,70
448,0.3,0.49,0.1343,1,91
449,0.3,0.49,0.1045,1,215
450,0.26,0.56,0.194,1,185
451,0.26,0.56,0.3284,1,152
452,0.26,0.6,0.2836,1,126
453,0.24,0.6,0.2537,1,57
454,0.24,0.65,0.2836,1,56
455,0.24,0.65,0.3284,1,31
456,0.24,0.7,0.2537,1,21
457,0.24,0.7,0.2537,1,6
458,0.24,0.75,0.1642,1,2
459,0.22,0.8,0.2985,1,1
460,0.22,0.87,0.0896,1,1
461,0.24,0.6,0.4179,1,5
462,0.22,0.55,0.2537,1,27
463,0.2,0.51,0.2836,1,68
464,0.2,0.47,0.3284,1,217
465,0.2,0.51,0.3582,1,166
466,0.2,0.47,0.4627,1,63
467,0.22,0.41,0.4627,1,59
468,0.22,0.27,0.5821,1,78
469,0.2,0.21,0.5821,1,73
470,0.2,0.25,0.5224,1,62
471,0.16,0.26,0.4478,1,65
472,0.16,0.26,0.3582,1,97
473,0.14,0.28,0.3582,1,161
474,0.12,0.3,0.2537,1,120
475,0.12,0.3,0.3284,1,96
476,0.1,0.33,0.4179,1,53
477,0.08,0.38,0.2836,1,41
478,0.06,0.41,0.3881,1,34
479,0.06,0.38,0.3284,1,27
480,0.04,0.45,0.2537,0,13
481,0.04,0.41,0.3881,0,12
482,0.04,0.41,0.2537,0,11
483,0.04,0.41,0.2836,0,7
484,0.02,0.48,0.2985,0,3
485,0.02,0.44,0.2239,0,2
486,0.02,0.44,0.2836,0,8
487,0.02,0.44,0.3284,0,27
488,0.04,0.41,0.2537,0,40
489,0.04,0.41,0.1642,0,53
490,0.06,0.38,0.1343,0,63
491,0.06,0.38,0.1045,0,70
492,0.08,0.35,0,0,84
493,0.1,0.33,0.1045,0,75
494,0.12,0.28,0,0,103
495,0.12,0.28,0.194,0,83
496,0.12,0.28,0,0,67
497,0.08,0.35,0.194,0,54
498,0.08,0.35,0.1343,0,59
499,0.06,0.45,0.1642,0,45
500,0.06,0.41,0.0896,0,39
501,0.06,0.49,0,0,30
502,0.04,0.57,0.1045,0,33
503,0.04,0.57,0.1045,0,22
504,0.04,0.57,0.1045,0,13
505,0.02,0.62,0.1343,0,18
506,0.02,0.62,0.1343,0,5
507,0.04,0.57,0.1045,0,3
508,0.04,0.57,0.1045,0,1
509,0.08,0.58,0.1642,0,2
510,0.06,0.62,0.1642,0,19
511,0.1,0.54,0.3582,0,28
512,0.14,0.46,0.3881,0,58
513,0.14,0.43,0.2239,0,99
514,0.16,0.37,0.4627,0,116
515,0.14,0.33,0.3881,0,87
516,0.16,0.28,0.3582,0,110
517,0.16,0.28,0.3582,0,77
518,0.16,0.26,0.3284,0,65
519,0.14,0.26,0.3881,0,55
520,0.12,0.3,0.2537,0,49
521,0.12,0.3,0.2836,0,50
522,0.1,0.36,0.2537,0,35
523,0.1,0.36,0.194,0,25
524,0.08,0.38,0.194,0,28
525,0.06,0.41,0.2239,0,21
526,0.06,0.41,0.194,1,7
527,0.04,0.45,0.194,1,1
528,0.04,0.45,0.2537,1,1
529,0.02,0.48,0.1343,1,1
530,0.02,0.48,0.1343,1,5
531,0.02,0.48,0.0896,1,15
532,0.02,0.48,0,1,84
533,0.04,0.49,0,1,177
534,0.06,0.41,0,1,102
535,0.1,0.42,0,1,40
536,0.1,0.46,0.1343,1,46
537,0.12,0.42,0.194,1,63
538,0.14,0.43,0.2239,1,60
539,0.14,0.46,0.2239,1,45
540,0.16,0.4,0.1642,1,57
541,0.16,0.47,0.2537,1,70
542,0.14,0.5,0.2537,1,184
543,0.14,0.59,0.194,1,153
544,0.14,0.54,0.1642,1,106
545,0.14,0.59,0.194,1,81
546,0.14,0.63,0.1642,1,59
547,0.14,0.63,0.2239,1,35
548,0.16,0.64,0.2537,1,24
549,0.16,0.69,0.2836,1,9
550,0.16,0.69,0.1642,1,5
551,0.16,0.69,0.2239,1,2
552,0.14,0.74,0.1045,1,1
553,0.14,0.74,0.2239,1,9
554,0.16,0.74,0.1045,1,36
555,0.16,0.74,0.2239,1,108
556,0.16,0.74,0.1343,1,238
557,0.2,0.64,0.0896,1,144
558,0.22,0.6,0.1045,1,55
559,0.24,0.6,0.1343,1,61
560,0.26,0.56,0.0896,1,106
561,0.26,0.56,0.1343,1,93
562,0.3,0.45,0,1,68
563,0.32,0.42,0,1,84
564,0.32,0.42,0,1,116
565,0.3,0.45,0,1,222
566,0.3,0.49,0.0896,1,225
567,0.26,0.65,0.1642,1,146
568,0.24,0.65,0.194,1,119
569,0.24,0.65,0.194,1,45
570,0.22,0.64,0.1642,1,53
571,0.22,0.64,0.1642,1,40
572,0.22,0.69,0.1343,1,17
573,0.24,0.65,0.1343,1,5
574,0.22,0.69,0.194,1,10
575,0.2,0.86,0.2836,1,1
576,0.2,0.86,0.2836,1,8
577,0.22,0.87,0.2985,1,30
578,0.22,0.87,0.2985,1,72
579,0.22,0.87,0.2985,1,58
580,0.22,0.93,0.2836,1,28
581,0.22,0.93,0.3284,1,41
582,0.22,0.93,0.3284,1,48
583,0.22,0.93,0.3284,1,47
584,0.22,0.93,0.3582,1,36
585,0.22,0.93,0.4627,1,43
586,0.22,0.93,0.3284,1,36
587,0.2,0.93,0.3582,1,26
588,0.22,0.55,0.194,1,24
589,0.22,0.55,0.1045,1,84
590,0.2,0.69,0.0896,1,104
591,0.2,0.69,0.0896,1,79
592,0.18,0.74,0.0896,1,59
593,0.18,0.74,0.0896,1,38
594,0.18,0.74,0.0896,1,27
595,0.18,0.8,0.1642,1,16
596,0.2,0.75,0.1343,1,9
597,0.2,0.75,0.1343,1,3
598,0.2,0.75,0.1642,1,2
599,0.2,0.75,0.1045,1,1
600,0.18,0.8,0.1045,1,4
601,0.18,0.8,0.1343,1,16
602,0.16,0.86,0.0896,1,60
603,0.16,0.86,0.0896,1,157
604,0.18,0.86,0.0896,1,101
605,0.18,0.86,0.1045,1,49
606,0.18,0.93,0.1045,1,30
607,0.18,0.93,0.1045,1,29
608,0.18,0.93,0.1045,1,31
609,0.22,0.8,0,1,38
610,0.2,0.86,0,1,41
611,0.22,0.8,0,1,80
612,0.24,0.75,0.1343,1,149
613,0.24,0.75,0.194,1,109
614,0.24,0.75,0.1343,1,89
615,0.24,0.7,0.194,1,62
616,0.22,0.75,0.1343,1,58
617,0.24,0.65,0.3582,1,26
618,0.24,0.6,0.2239,1,23
619,0.22,0.64,0.3582,0,28
620,0.22,0.64,0.194,0,20
621,0.22,0.64,0.1642,0,15
622,0.2,0.64,0.1343,0,8
623,0.16,0.69,0.1045,0,3
624,0.16,0.64,0.1343,0,2
625,0.16,0.59,0.1045,0,5
626,0.18,0.55,0.1642,0,34
627,0.18,0.59,0.0896,0,34
628,0.18,0.64,0.1045,0,55
629,0.18,0.64,0.1343,0,64
630,0.2,0.59,0.194,0,78
631,0.22,0.55,0.1642,0,65
632,0.22,0.6,0.1343,0,99
633,0.22,0.69,0.2537,0,120
634,0.24,0.6,0.1642,0,107
635,0.24,0.6,0,0,91
636,0.22,0.69,0.1343,0,68
637,0.22,0.69,0.2537,0,58
638,0.18,0.74,0.0896,0,43
639,0.18,0.74,0.0896,0,36
640,0.16,0.8,0.0896,0,32
641,0.16,0.8,0.0896,0,33
642,0.16,0.8,0.1045,0,33
643,0.14,0.8,0,0,29
644,0.16,0.8,0,0,11
645,0.14,0.93,0,0,8
646,0.14,0.93,0,0,1
647,0.14,0.86,0,0,3
648,0.14,0.86,0,0,3
649,0.14,0.86,0,0,12
650,0.16,0.8,0,0,38
651,0.18,0.8,0,0,64
652,0.22,0.75,0,0,59
653,0.3,0.52,0.1045,0,97
654,0.28,0.61,0.1045,0,84
655,0.28,0.61,0.0896,0,122
656,0.3,0.56,0,0,109
657,0.3,0.56,0,0,123
658,0.3,0.56,0.194,0,77
659,0.26,0.65,0.1642,0,65
660,0.26,0.65,0.194,0,55
661,0.26,0.65,0.1045,0,33
662,0.24,0.7,0.1642,0,28
663,0.24,0.7,0.194,0,21
664,0.24,0.65,0.2836,0,21
665,0.24,0.65,0.2239,1,7
666,0.22,0.64,0.2537,1,7
667,0.22,0.64,0.194,1,1
668,0.22,0.64,0.194,1,2
669,0.2,0.59,0.2239,1,2
670,0.18,0.64,0.2836,1,8
671,0.16,0.69,0.3284,1,37
672,0.16,0.64,0.2836,1,72
673,0.16,0.59,0.2836,1,185
674,0.16,0.59,0.2985,1,112
675,0.16,0.59,0.194,1,69
676,0.16,0.59,0.194,1,48
677,0.18,0.55,0.1045,1,68
678,0.16,0.59,0,1,54
679,0.18,0.55,0.1343,1,86
680,0.16,0.59,0.1343,1,44
681,0.16,0.56,0.194,1,86
682,0.16,0.59,0.194,1,161
683,0.16,0.55,0.2239,1,156
684,0.3,0.61,0.1045,1,111
685,0.16,0.59,0.1642,1,78
686,0.16,0.59,0.0896,1,56
687,0.16,0.59,0.1045,1,34
688,0.16,0.64,0.0896,1,17
689,0.16,0.64,0.1045,1,8
690,0.16,0.69,0.1045,1,3
691,0.16,0.69,0,1,2
692,0.16,0.69,0,1,2
693,0.14,0.93,0,1,3
694,0.14,0.93,0,1,22
695,0.16,0.93,0,1,52
696,0.16,0.93,0,1,135
697,0.16,0.93,0,1,116
698,0.16,0.93,0,1,47
699,0.18,0.86,0,1,51
700,0.2,0.86,0,1,55
701,0.2,0.86,0,1,52
702,0.22,0.8,0.0896,1,54
703,0.24,0.75,0,1,52
704,0.24,0.75,0.1343,1,64
705,0.24,0.75,0,1,176
706,0.24,0.81,0.1045,1,168
707,0.24,0.81,0.1343,1,108
708,0.22,0.87,0.1343,1,74
709,0.22,0.87,0.1343,1,64
710,0.22,0.87,0.0896,1,36
711,0.2,0.93,0.194,1,16
712,0.22,0.93,0.1045,1,2
713,0.22,0.93,0.194,1,3
714,0.22,0.93,0.1343,1,4
715,0.22,0.93,0.1343,1,1
716,0.22,0.93,0.2836,1,1
717,0.22,0.93,0.1045,1,3
718,0.22,0.93,0.1045,1,18
719,0.22,0.93,0.2239,1,49
720,0.22,0.93,0.2239,1,155
721,0.24,0.93,0.0896,1,123
722,0.22,1,0,1,61
723,0.24,0.93,0.194,1,52
724,0.24,0.93,0.2239,1,64
725,0.34,0.93,0.1642,1,75
726,0.38,0.82,0.3881,1,63
727,0.38,0.76,0.3284,1,76
728,0.36,0.71,0.2985,1,103
729,0.36,0.53,0.5224,1,190
730,0.34,0.42,0.5522,1,182
731,0.28,0.45,0.4925,1,91
732,0.24,0.48,0.5522,1,75
733,0.22,0.47,0.3284,1,63
734,0.22,0.44,0.2537,1,40
735,0.2,0.44,0.4478,1,32
736,0.2,0.4,0.4478,1,12
737,0.2,0.44,0.5224,1,5
738,0.18,0.43,0.2537,1,2
739,0.18,0.43,0.2537,1,1
740,0.16,0.5,0.2985,1,2
741,0.16,0.43,0.3582,1,39
742,0.14,0.5,0.3284,1,87
743,0.14,0.5,0.3582,1,188
744,0.16,0.47,0.2985,1,133
745,0.18,0.43,0.3284,1,52
746,0.18,0.43,0.4478,1,64
747,0.2,0.4,0.3582,1,69
748,0.2,0.4,0.4179,1,51
749,0.22,0.37,0.3881,1,47
750,0.22,0.37,0.3284,1,60
751,0.22,0.37,0.2537,1,78
752,0.2,0.4,0.194,1,175
